date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230703,far-left,64,0.0128,63,0.0126,5000
20230703,center-left,53,0.0106,53,0.0106,5000
20230703,center,62,0.0124,62,0.0124,5000
20230703,center-right,52,0.0104,52,0.0104,5000
20230703,far-right,0,0,0,0,0
20230710,far-left,59,0.0118,58,0.0116,5000
20230710,center-left,44,0.0088,44,0.0088,5000
20230710,center,47,0.0094,47,0.0094,5000
20230710,center-right,47,0.0094,47,0.0094,5000
20230710,far-right,0,0,0,0,0
20230717,far-left,56,0.0112,56,0.0112,5000
20230717,center-left,40,0.008,40,0.008,5000
20230717,center,62,0.0124,62,0.0124,5000
20230717,center-right,46,0.0092,45,0.009,5000
20230717,far-right,0,0,0,0,0
20230724,far-left,50,0.01,48,0.0096,5000
20230724,center-left,30,0.006,29,0.0058,5000
20230724,center,41,0.0082,41,0.0082,5000
20230724,center-right,51,0.0102,51,0.0102,5000
20230724,far-right,0,0,0,0,0
20230731,far-left,51,0.0102,50,0.01,5000
20230731,center-left,39,0.0078,38,0.0076,5000
20230731,center,44,0.0088,43,0.0086,5000
20230731,center-right,56,0.0112,56,0.0112,5000
20230731,far-right,0,0,0,0,0
20230807,far-left,0,0,0,0,0
20230807,center-left,47,0.0094,46,0.0092,5000
20230807,center,58,0.0116,56,0.0112,5000
20230807,center-right,45,0.009,45,0.009,5000
20230807,far-right,0,0,0,0,0
20230814,far-left,45,0.009,45,0.009,5000
20230814,center-left,46,0.0092,46,0.0092,5000
20230814,center,54,0.0108,54,0.0108,5000
20230814,center-right,71,0.0142,70,0.014,5000
20230814,far-right,0,0,0,0,0
20230821,far-left,56,0.0112,55,0.011,5000
20230821,center-left,47,0.0094,46,0.0092,5000
20230821,center,58,0.0116,56,0.0112,5000
20230821,center-right,73,0.0146,73,0.0146,5000
20230821,far-right,0,0,0,0,0
20230828,far-left,54,0.0108,54,0.0108,5000
20230828,center-left,53,0.0106,51,0.0102,5000
20230828,center,80,0.016,77,0.0154,5000
20230828,center-right,75,0.015,74,0.0148,5000
20230828,far-right,0,0,0,0,0
20230904,far-left,78,0.0156,76,0.0152,5000
20230904,center-left,80,0.016,80,0.016,5000
20230904,center,102,0.0204,102,0.0204,5000
20230904,center-right,110,0.022,107,0.0214,5000
20230904,far-right,38,0.0076,38,0.0076,5000
20230911,far-left,74,0.0148,73,0.0146,5000
20230911,center-left,76,0.0152,76,0.0152,5000
20230911,center,99,0.0198,98,0.0196,5000
20230911,center-right,104,0.0208,104,0.0208,5000
20230911,far-right,49,0.0098,49,0.0098,5000
20230918,far-left,62,0.0124,61,0.0122,5000
20230918,center-left,72,0.0144,70,0.014,5000
20230918,center,89,0.0178,86,0.0172,5000
20230918,center-right,112,0.0224,112,0.0224,5000
20230918,far-right,51,0.0102,51,0.0102,5000
20230925,far-left,71,0.0142,71,0.0142,5000
20230925,center-left,73,0.0146,73,0.0146,5000
20230925,center,95,0.019,94,0.0188,5000
20230925,center-right,98,0.0196,96,0.0192,5000
20230925,far-right,0,0,0,0,0
20231002,far-left,86,0.0172,84,0.0168,5000
20231002,center-left,75,0.015,74,0.0148,5000
20231002,center,118,0.0236,117,0.0234,5000
