date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20240115,center,66,0.0132,66,0.0132,5000
20240115,center-right,76,0.0152,76,0.0152,5000
20240115,far-right,443,0.0886,432,0.0864,5000
20240122,far-left,184,0.0368,183,0.0366,5000
20240122,center-left,80,0.016,80,0.016,5000
20240122,center,59,0.0118,59,0.0118,5000
20240122,center-right,112,0.0224,112,0.0224,5000
20240122,far-right,574,0.115,559,0.112,5000
20240129,far-left,193,0.0407,193,0.0407,4742
20240129,center-left,92,0.0184,92,0.0184,5000
20240129,center,69,0.0138,69,0.0138,5000
20240129,center-right,134,0.0268,134,0.0268,5000
20240129,far-right,636,0.127,628,0.126,5000
20240205,far-left,236,0.0472,235,0.047,5000
20240205,center-left,109,0.0218,108,0.0216,5000
20240205,center,90,0.018,90,0.018,5000
20240205,center-right,144,0.0288,144,0.0288,5000
20240205,far-right,688,0.138,677,0.135,5000
20240212,far-left,200,0.0403,199,0.0401,4957
20240212,center-left,77,0.0154,77,0.0154,5000
20240212,center,79,0.0158,79,0.0158,5000
20240212,center-right,107,0.0214,103,0.0206,5000
20240212,far-right,604,0.121,588,0.118,5000
20240219,far-left,210,0.0464,210,0.0464,4525
20240219,center-left,80,0.016,79,0.0158,5000
20240219,center,74,0.0148,72,0.0144,5000
20240219,center-right,92,0.0184,90,0.018,5000
20240219,far-right,576,0.115,562,0.112,5000
20240226,far-left,254,0.0548,254,0.0548,4639
20240226,center-left,112,0.0224,112,0.0224,5000
20240226,center,119,0.0238,119,0.0238,5000
20240226,center-right,152,0.0304,152,0.0304,5000
20240226,far-right,699,0.14,688,0.138,5000
20240304,far-left,394,0.0788,392,0.0784,5000
20240304,center-left,152,0.0304,151,0.0302,5000
20240304,center,177,0.0354,171,0.0342,5000
20240304,center-right,199,0.0398,197,0.0394,5000
20240304,far-right,660,0.132,655,0.131,5000
20240311,far-left,247,0.0494,244,0.0488,5000
20240311,center-left,95,0.019,94,0.0188,5000
20240311,center,76,0.0152,76,0.0152,5000
20240311,center-right,131,0.0262,130,0.026,5000
20240311,far-right,549,0.11,543,0.109,5000
20240318,far-left,141,0.0284,141,0.0284,4960
20240318,center-left,85,0.017,85,0.017,5000
20240318,center,83,0.0166,82,0.0164,5000
20240318,center-right,122,0.0244,120,0.024,5000
20240318,far-right,499,0.0998,490,0.098,5000
20240325,far-left,210,0.0423,208,0.0419,4963
20240325,center-left,78,0.0156,78,0.0156,5000
20240325,center,86,0.0172,86,0.0172,5000
20240325,center-right,121,0.0242,120,0.024,5000
20240325,far-right,490,0.098,481,0.0962,5000
20240401,far-left,211,0.0422,210,0.042,5000
20240401,center-left,83,0.0166,83,0.0166,5000
20240401,center,73,0.0146,73,0.0146,5000
20240401,center-right,135,0.027,134,0.0268,5000
20240401,far-right,555,0.111,543,0.109,5000
20240408,far-left,179,0.0358,175,0.035,5000
20240408,center-left,95,0.019,95,0.019,5000
20240408,center,113,0.0226,113,0.0226,5000
20240408,center-right,140,0.028,140,0.028,5000
20240408,far-right,495,0.099,489,0.0978,5000
20240415,far-left,112,0.0224,112,0.0224,5000
20240415,center-left,63,0.0126,62,0.0124,5000
20240415,center,55,0.011,54,0.0108,5000
20240415,center-right,109,0.0218,109,0.0218,5000
20240415,far-right,562,0.112,557,0.111,5000
20240422,far-left,178,0.0356,177,0.0354,5000
20240422,center-left,75,0.015,74,0.0148,5000
20240422,center,67,0.0134,67,0.0134,5000
20240422,center-right,113,0.0226,113,0.0226,5000
20240422,far-right,557,0.111,544,0.109,5000
20240429,far-left,140,0.028,140,0.028,5000
20240429,center-left,60,0.012,59,0.0118,5000
20240429,center,84,0.0168,84,0.0168,5000
20240429,center-right,124,0.0248,123,0.0246,5000
20240429,far-right,550,0.11,542,0.108,5000
20240506,far-left,0,0,0,0,0
20240506,center-left,0,0,0,0,0
20240506,center,0,0,0,0,0
20240506,center-right,0,0,0,0,0
20240506,far-right,637,0.127,625,0.125,5000
20240513,far-left,246,0.0492,245,0.049,5000
20240513,center-left,94,0.0188,94,0.0188,5000
20240513,center,82,0.0164,82,0.0164,5000
20240513,center-right,129,0.0258,129,0.0258,5000
20240513,far-right,594,0.119,585,0.117,5000
20240520,far-left,170,0.034,170,0.034,5000
20240520,center-left,57,0.0114,57,0.0114,5000
20240520,center,68,0.0136,67,0.0134,5000
20240520,center-right,106,0.0212,105,0.021,5000
20240520,far-right,588,0.118,576,0.115,5000
20240527,far-left,123,0.0246,123,0.0246,5000
20240527,center-left,83,0.0166,81,0.0162,5000
20240527,center,92,0.0184,91,0.0182,5000
20240527,center-right,184,0.0368,177,0.0354,5000
20240527,far-right,663,0.133,646,0.129,5000
20240603,far-left,230,0.046,226,0.0452,5000
20240603,center-left,129,0.0258,123,0.0246,5000
20240603,center,142,0.0284,140,0.028,5000
20240603,center-right,206,0.0412,199,0.0398,5000
20240603,far-right,734,0.147,710,0.142,5000
20240610,far-left,238,0.0476,233,0.0466,5000
20240610,center-left,114,0.0228,111,0.0222,5000
20240610,center,111,0.0222,101,0.0202,5000
20240610,center-right,188,0.0376,180,0.036,5000
20240610,far-right,784,0.157,768,0.154,5000
20240617,far-left,228,0.0456,226,0.0452,5000
20240617,center-left,77,0.0154,77,0.0154,5000
20240617,center,88,0.0176,87,0.0174,5000
20240617,center-right,205,0.041,203,0.0406,5000
20240617,far-right,921,0.184,904,0.181,5000
20240624,far-left,437,0.0874,433,0.0866,5000
20240624,center-left,244,0.0488,243,0.0486,5000
20240624,center,215,0.043,212,0.0424,5000
20240624,center-right,302,0.0604,300,0.06,5000
20240624,far-right,1187,0.2374,1156,0.2312,5000
20240701,far-left,479,0.0971,477,0.0967,4931
20240701,center-left,231,0.0462,230,0.046,5000
20240701,center,188,0.0376,185,0.037,5000
20240701,center-right,298,0.0596,298,0.0596,5000
20240701,far-right,1307,0.2614,1274,0.2548,5000
20240708,far-left,502,0.1,498,0.0996,5000
20240708,center-left,256,0.0512,255,0.051,5000
20240708,center,199,0.0398,192,0.0384,5000
20240708,center-right,328,0.0656,327,0.0654,5000
20240708,far-right,1330,0.266,1292,0.2584,5000
20240715,far-left,402,0.0804,402,0.0804,5000
20240715,center-left,208,0.0416,208,0.0416,5000
20240715,center,227,0.0454,227,0.0454,5000
20240715,center-right,331,0.0662,329,0.0658,5000
20240715,far-right,769,0.154,761,0.152,5000
20240722,far-left,249,0.0498,248,0.0496,5000
20240722,center-left,136,0.0272,136,0.0272,5000
20240722,center,142,0.0284,142,0.0284,5000
20240722,center-right,153,0.0306,151,0.0302,5000
20240722,far-right,557,0.111,554,0.111,5000
20240729,far-left,112,0.0224,112,0.0224,5000
20240729,center-left,43,0.0086,43,0.0086,5000
20240729,center,0,0,0,0,0
20240729,center-right,68,0.0136,68,0.0136,5000
20240729,far-right,340,0.068,333,0.0666,5000
20240805,far-left,44,0.0088,42,0.0084,5000
20240805,center-left,31,0.0062,31,0.0062,5000
20240805,center,0,0,0,0,0
20240805,center-right,65,0.013,64,0.0128,5000
20240805,far-right,314,0.0628,304,0.0608,5000
20240812,far-left,79,0.0158,79,0.0158,5000
20240812,center-left,42,0.0084,42,0.0084,5000
20240812,center,49,0.0098,49,0.0098,5000
20240812,center-right,72,0.0144,72,0.0144,5000
20240812,far-right,346,0.0692,341,0.0682,5000
20240819,far-left,99,0.0198,99,0.0198,5000
20240819,center-left,78,0.0156,77,0.0154,5000
20240819,center,86,0.0172,85,0.017,5000
20240819,center-right,124,0.0248,122,0.0244,5000
20240819,far-right,340,0.068,336,0.0672,5000
20240826,far-left,47,0.0094,47,0.0094,5000
20240826,center-left,0,0,0,0,0
20240826,center,0,0,0,0,0
20240826,center-right,63,0.0126,63,0.0126,5000
20240826,far-right,329,0.0658,326,0.0652,5000
20240902,far-left,64,0.0128,64,0.0128,5000
20240902,center-left,30,0.006,30,0.006,5000
20240902,center,44,0.0088,44,0.0088,5000
20240902,center-right,74,0.0148,74,0.0148,5000
20240902,far-right,267,0.0534,266,0.0532,5000
20240909,far-left,47,0.0094,47,0.0094,5000
20240909,center-left,0,0,0,0,0
20240909,center,35,0.007,35,0.007,5000
20240909,center-right,70,0.014,70,0.014,5000
20240909,far-right,248,0.0496,244,0.0488,5000
20240916,far-left,48,0.0096,48,0.0096,5000
20240916,center-left,0,0,0,0,0
20240916,center,0,0,0,0,0
20240916,center-right,49,0.0098,49,0.0098,5000
20240916,far-right,244,0.0488,238,0.0476,5000
20240923,far-left,51,0.0102,51,0.0102,5000
20240923,center-left,33,0.0066,33,0.0066,5000
20240923,center,46,0.0092,45,0.009,5000
20240923,center-right,80,0.016,80,0.016,5000
20240923,far-right,322,0.0644,319,0.0638,5000
20240930,far-left,78,0.0156,76,0.0152,5000
20240930,center-left,35,0.007,35,0.007,5000
20240930,center,56,0.0112,56,0.0112,5000
20240930,center-right,93,0.0186,93,0.0186,5000
20240930,far-right,367,0.0734,364,0.0728,5000
20241007,far-left,71,0.0142,71,0.0142,5000
20241007,center-left,0,0,0,0,0
20241007,center,0,0,0,0,0
20241007,center-right,77,0.0154,77,0.0154,5000
20241007,far-right,340,0.068,336,0.0672,5000
20241014,far-left,43,0.0086,43,0.0086,5000
20241014,center-left,38,0.0076,37,0.0074,5000
20241014,center,38,0.0076,38,0.0076,5000
20241014,center-right,83,0.0166,83,0.0166,5000
20241014,far-right,268,0.0536,265,0.053,5000
20241021,far-left,45,0.009,44,0.0088,5000
20241021,center-left,0,0,0,0,0
20241021,center,0,0,0,0,0
20241021,center-right,71,0.0142,71,0.0142,5000
20241021,far-right,207,0.0414,205,0.041,5000
20241028,far-left,41,0.0082,41,0.0082,5000
20241028,center-left,0,0,0,0,0
20241028,center,35,0.007,35,0.007,5000
20241028,center-right,55,0.011,55,0.011,5000
20241028,far-right,271,0.0542,266,0.0532,5000
20241104,far-left,47,0.0094,47,0.0094,5000
20241104,center-left,0,0,0,0,0
20241104,center,0,0,0,0,0
20241104,center-right,92,0.0184,92,0.0184,5000
20241104,far-right,206,0.0412,205,0.041,5000
20241111,far-left,91,0.0182,90,0.018,5000
20241111,center-left,49,0.0098,47,0.0094,5000
20241111,center,43,0.0086,43,0.0086,5000
20241111,center-right,88,0.0176,88,0.0176,5000
20241111,far-right,228,0.0456,226,0.0452,5000
20241118,far-left,59,0.0118,59,0.0118,5000
20241118,center-left,36,0.0072,35,0.007,5000
20241118,center,0,0,0,0,0
20241118,center-right,65,0.013,64,0.0128,5000
20241118,far-right,252,0.0504,247,0.0494,5000
20241125,far-left,73,0.0161,72,0.0159,4541
20241125,center-left,35,0.007,35,0.007,5000
20241125,center,50,0.01,49,0.0098,5000
20241125,center-right,81,0.0162,81,0.0162,5000
20241125,far-right,269,0.0538,260,0.052,5000
20241202,far-left,175,0.035,171,0.0342,5000
20241202,center-left,92,0.0184,90,0.018,5000
20241202,center,101,0.0202,98,0.0196,5000
20241202,center-right,185,0.037,182,0.0364,5000
