date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230807,center-right,100,0.02,99,0.0198,5000
20230807,far-right,431,0.0862,417,0.0834,5000
20230814,far-left,742,0.148,729,0.146,5000
20230814,center-left,179,0.0358,176,0.0352,5000
20230814,center,86,0.0172,86,0.0172,5000
20230814,center-right,142,0.0284,141,0.0282,5000
20230814,far-right,543,0.109,535,0.107,5000
20230821,far-left,603,0.121,586,0.117,5000
20230821,center-left,98,0.0196,98,0.0196,5000
20230821,center,61,0.0122,61,0.0122,5000
20230821,center-right,89,0.0178,89,0.0178,5000
20230821,far-right,436,0.0872,425,0.085,5000
20230828,far-left,401,0.0802,394,0.0788,5000
20230828,center-left,84,0.0168,83,0.0166,5000
20230828,center,64,0.0128,63,0.0126,5000
20230828,center-right,63,0.0126,62,0.0124,5000
20230828,far-right,353,0.0706,346,0.0692,5000
20230904,far-left,415,0.083,408,0.0816,5000
20230904,center-left,53,0.0106,53,0.0106,5000
20230904,center,67,0.0134,66,0.0132,5000
20230904,center-right,73,0.0146,73,0.0146,5000
20230904,far-right,242,0.0484,240,0.048,5000
20230911,far-left,350,0.07,349,0.0698,5000
20230911,center-left,63,0.0126,63,0.0126,5000
20230911,center,57,0.0114,57,0.0114,5000
20230911,center-right,46,0.0092,46,0.0092,5000
20230911,far-right,224,0.0448,221,0.0442,5000
20230918,far-left,349,0.0698,346,0.0692,5000
20230918,center-left,46,0.0092,46,0.0092,5000
20230918,center,54,0.0108,54,0.0108,5000
20230918,center-right,56,0.0112,56,0.0112,5000
20230918,far-right,275,0.055,265,0.053,5000
20230925,far-left,504,0.101,498,0.0996,5000
20230925,center-left,82,0.0164,81,0.0162,5000
20230925,center,98,0.0196,98,0.0196,5000
20230925,center-right,106,0.0212,106,0.0212,5000
20230925,far-right,338,0.0676,324,0.0648,5000
20231002,far-left,537,0.107,530,0.106,5000
20231002,center-left,97,0.0194,94,0.0188,5000
20231002,center,90,0.018,88,0.0176,5000
20231002,center-right,89,0.0178,89,0.0178,5000
20231002,far-right,403,0.0806,390,0.078,5000
20231009,far-left,329,0.0658,325,0.065,5000
20231009,center-left,45,0.009,45,0.009,5000
20231009,center,48,0.0096,46,0.0092,5000
20231009,center-right,43,0.0086,43,0.0086,5000
20231009,far-right,176,0.0352,174,0.0348,5000
20231016,far-left,403,0.0806,400,0.08,5000
20231016,center-left,64,0.0128,64,0.0128,5000
20231016,center,70,0.014,69,0.0138,5000
20231016,center-right,87,0.0174,84,0.0168,5000
20231016,far-right,220,0.044,213,0.0426,5000
20231023,far-left,489,0.0978,486,0.0972,5000
20231023,center-left,86,0.0172,84,0.0168,5000
20231023,center,69,0.0138,63,0.0126,5000
20231023,center-right,76,0.0152,72,0.0144,5000
20231023,far-right,216,0.0432,202,0.0404,5000
20231030,far-left,534,0.107,519,0.104,5000
20231030,center-left,80,0.016,79,0.0158,5000
20231030,center,70,0.014,66,0.0132,5000
20231030,center-right,81,0.0162,79,0.0158,5000
20231030,far-right,267,0.0534,257,0.0514,5000
20231106,far-left,510,0.102,498,0.0996,5000
20231106,center-left,99,0.0198,99,0.0198,5000
20231106,center,79,0.0158,78,0.0156,5000
20231106,center-right,97,0.0194,92,0.0184,5000
20231106,far-right,299,0.0598,293,0.0586,5000
20231113,far-left,510,0.102,503,0.101,5000
20231113,center-left,94,0.0188,90,0.018,5000
20231113,center,74,0.0148,72,0.0144,5000
20231113,center-right,92,0.0184,88,0.0176,5000
20231113,far-right,271,0.0542,263,0.0526,5000
20231120,far-left,432,0.0954,425,0.0938,4530
20231120,center-left,82,0.0164,82,0.0164,5000
20231120,center,39,0.0078,37,0.0074,5000
20231120,center-right,53,0.0106,53,0.0106,5000
20231120,far-right,239,0.0478,236,0.0472,5000
20231127,far-left,482,0.0965,478,0.0957,4996
20231127,center-left,91,0.0182,89,0.0178,5000
20231127,center,54,0.0108,54,0.0108,5000
20231127,center-right,64,0.0128,64,0.0128,5000
20231127,far-right,269,0.0538,262,0.0524,5000
20231204,far-left,599,0.12,592,0.119,4984
20231204,center-left,86,0.0172,83,0.0166,5000
20231204,center,46,0.0092,46,0.0092,5000
20231204,center-right,62,0.0124,62,0.0124,5000
20231204,far-right,256,0.0512,250,0.05,5000
20231211,far-left,531,0.107,527,0.106,4984
20231211,center-left,74,0.0148,74,0.0148,5000
20231211,center,43,0.0086,43,0.0086,5000
20231211,center-right,76,0.0152,76,0.0152,5000
20231211,far-right,283,0.0566,274,0.0548,5000
20231218,far-left,646,0.138,639,0.136,4697
20231218,center-left,94,0.0188,92,0.0184,5000
20231218,center,59,0.0118,58,0.0116,5000
20231218,center-right,83,0.0166,83,0.0166,5000
20231218,far-right,454,0.0908,444,0.0888,5000
20231225,far-left,418,0.141,417,0.141,2960
20231225,center-left,104,0.0208,104,0.0208,5000
20231225,center,73,0.0146,73,0.0146,5000
20231225,center-right,88,0.0176,87,0.0174,5000
20231225,far-right,368,0.0736,362,0.0724,5000
20240101,far-left,483,0.147,474,0.145,3275
20240101,center-left,153,0.0306,152,0.0304,5000
20240101,center,91,0.0182,89,0.0178,5000
20240101,center-right,112,0.0224,110,0.022,5000
20240101,far-right,403,0.0806,389,0.0778,5000
20240108,far-left,723,0.146,707,0.142,4966
20240108,center-left,154,0.0308,154,0.0308,5000
20240108,center,83,0.0166,83,0.0166,5000
20240108,center-right,117,0.0234,117,0.0234,5000
20240108,far-right,518,0.104,498,0.0996,5000
20240115,far-left,804,0.166,798,0.165,4832
20240115,center-left,188,0.0376,186,0.0372,5000
20240115,center,179,0.0358,176,0.0352,5000
20240115,center-right,195,0.039,194,0.0388,5000
20240115,far-right,637,0.127,616,0.123,5000
20240122,far-left,791,0.158,783,0.157,5000
20240122,center-left,159,0.0318,158,0.0316,5000
20240122,center,102,0.0204,98,0.0196,5000
20240122,center-right,146,0.0292,146,0.0292,5000
20240122,far-right,426,0.0852,416,0.0832,5000
20240129,far-left,601,0.127,593,0.125,4742
20240129,center-left,104,0.0208,103,0.0206,5000
20240129,center,78,0.0156,78,0.0156,5000
20240129,center-right,103,0.0206,101,0.0202,5000
20240129,far-right,367,0.0734,351,0.0702,5000
20240205,far-left,625,0.125,624,0.125,5000
20240205,center-left,123,0.0246,123,0.0246,5000
20240205,center,81,0.0162,80,0.016,5000
20240205,center-right,137,0.0274,135,0.027,5000
20240205,far-right,336,0.0672,324,0.0648,5000
20240212,far-left,691,0.139,680,0.137,4957
20240212,center-left,140,0.028,139,0.0278,5000
20240212,center,94,0.0188,93,0.0186,5000
20240212,center-right,126,0.0252,123,0.0246,5000
20240212,far-right,371,0.0742,358,0.0716,5000
20240219,far-left,691,0.153,675,0.149,4525
20240219,center-left,121,0.0242,119,0.0238,5000
20240219,center,88,0.0176,87,0.0174,5000
20240219,center-right,151,0.0302,149,0.0298,5000
20240219,far-right,458,0.0916,449,0.0898,5000
20240226,far-left,671,0.145,661,0.142,4639
20240226,center-left,129,0.0258,129,0.0258,5000
20240226,center,93,0.0186,91,0.0182,5000
20240226,center-right,140,0.028,140,0.028,5000
20240226,far-right,452,0.0904,440,0.088,5000
20240304,far-left,647,0.129,634,0.127,5000
20240304,center-left,137,0.0274,134,0.0268,5000
20240304,center,132,0.0264,130,0.026,5000
20240304,center-right,151,0.0302,151,0.0302,5000
20240304,far-right,434,0.0868,429,0.0858,5000
20240311,far-left,628,0.126,622,0.124,5000
20240311,center-left,121,0.0242,120,0.024,5000
20240311,center,76,0.0152,74,0.0148,5000
20240311,center-right,115,0.023,113,0.0226,5000
20240311,far-right,394,0.0788,387,0.0774,5000
20240318,far-left,686,0.138,670,0.135,4960
20240318,center-left,124,0.0248,122,0.0244,5000
20240318,center,77,0.0154,77,0.0154,5000
20240318,center-right,112,0.0224,111,0.0222,5000
20240318,far-right,454,0.0908,443,0.0886,5000
20240325,far-left,662,0.133,653,0.132,4963
20240325,center-left,160,0.032,160,0.032,5000
20240325,center,100,0.02,100,0.02,5000
20240325,center-right,129,0.0258,128,0.0256,5000
20240325,far-right,392,0.0784,381,0.0762,5000
20240401,far-left,676,0.135,671,0.134,5000
20240401,center-left,115,0.023,113,0.0226,5000
20240401,center,88,0.0176,87,0.0174,5000
20240401,center-right,105,0.021,105,0.021,5000
20240401,far-right,399,0.0798,389,0.0778,5000
20240408,far-left,744,0.149,740,0.148,5000
20240408,center-left,155,0.031,153,0.0306,5000
20240408,center,88,0.0176,88,0.0176,5000
20240408,center-right,124,0.0248,119,0.0238,5000
20240408,far-right,473,0.0946,456,0.0912,5000
20240415,far-left,776,0.155,766,0.153,5000
20240415,center-left,187,0.0374,184,0.0368,5000
20240415,center,73,0.0146,72,0.0144,5000
20240415,center-right,152,0.0304,150,0.03,5000
20240415,far-right,482,0.0964,463,0.0926,5000
20240422,far-left,844,0.169,831,0.166,5000
20240422,center-left,116,0.0232,115,0.023,5000
20240422,center,82,0.0164,77,0.0154,5000
20240422,center-right,123,0.0246,118,0.0236,5000
20240422,far-right,402,0.0804,388,0.0776,5000
20240429,far-left,682,0.136,673,0.135,5000
20240429,center-left,120,0.024,120,0.024,5000
20240429,center,105,0.021,104,0.0208,5000
20240429,center-right,139,0.0278,136,0.0272,5000
20240429,far-right,385,0.077,373,0.0746,5000
20240506,far-left,739,0.148,730,0.146,5000
20240506,center-left,172,0.0344,167,0.0334,5000
20240506,center,164,0.0328,161,0.0322,5000
